Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for windows-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 19:14:59 by "" with MS VC++ 15.9 (VS2017)
Memory: 4k page, physical 16647984k(7152332k free), swap 31852336k(12798560k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266367744 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.885: [GC (Allocation Failure) [PSYoungGen: 65536K->7401K(76288K)] 65536K->7417K(251392K), 0.0050631 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.164: [GC (Allocation Failure) [PSYoungGen: 72937K->9661K(76288K)] 72953K->9749K(251392K), 0.0050418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.251: [GC (Metadata GC Threshold) [PSYoungGen: 29542K->7036K(76288K)] 29630K->7132K(251392K), 0.0032406 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
1.254: [Full GC (Metadata GC Threshold) [PSYoungGen: 7036K->0K(76288K)] [ParOldGen: 96K->6847K(98816K)] 7132K->6847K(175104K), [Metaspace: 20517K->20515K(1067008K)], 0.0165698 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
1.855: [GC (Allocation Failure) [PSYoungGen: 65536K->5802K(108544K)] 72383K->12658K(207360K), 0.0034601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.337: [GC (Allocation Failure) [PSYoungGen: 108202K->10290K(137216K)] 115058K->17154K(236032K), 0.0049886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.822: [GC (Allocation Failure) [PSYoungGen: 136754K->11757K(151552K)] 143618K->21753K(250368K), 0.0061020 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.242: [GC (Metadata GC Threshold) [PSYoungGen: 70034K->14418K(154624K)] 80031K->24423K(253440K), 0.0059309 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.248: [Full GC (Metadata GC Threshold) [PSYoungGen: 14418K->0K(154624K)] [ParOldGen: 10004K->19788K(160768K)] 24423K->19788K(315392K), [Metaspace: 34063K->34063K(1079296K)], 0.0332702 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
